sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0091,0.9363,0.0546
6.9,3.1,5.1,2.3,virginica,0.0125,0.0103,0.9772
5.1,2.5,3.0,1.1,versicolor,0.0251,0.9487,0.0262
4.4,2.9,,0.2,setosa,0.4821,0.376,0.1418
5.9,3.0,5.1,1.8,virginica,0.0147,0.1969,0.7884
5.5,3.5,1.3,0.2,setosa,0.9447,0.0302,0.025
5.6,,3.6,1.3,versicolor,0.0312,0.9575,0.0113
6.5,3.0,5.2,2.0,virginica,0.0113,0.0283,0.9605
5.3,3.7,1.5,0.2,setosa,0.9501,0.0257,0.0242
5.1,3.4,1.5,,setosa,0.6976,0.2168,0.0856
6.1,2.8,4.0,1.3,versicolor,0.0121,0.9752,0.0128
5.5,2.4,3.7,1.0,versicolor,0.0138,0.9652,0.021
7.7,3.0,6.1,2.3,virginica,0.0149,0.011,0.9741
6.9,3.1,4.9,1.5,versicolor,0.0163,0.7787,0.205
6.0,2.2,5.0,1.5,virginica,0.0194,0.1946,0.7861
