id,loan_status,aproval_prob
58645,1,0.9945
58646,0,0.0212
58647,1,0.6679
58648,0,0.0138
58649,0,0.0718
58650,1,0.9509
58651,0,0.0034
58652,0,0.0073
58653,0,0.2466
58654,0,0.0163
58655,0,0.0582
58656,0,0.089
58657,0,0.0121
58658,0,0.0084
58659,0,0.019
58660,0,0.069
58661,0,0.0187
58662,0,0.0022
58663,0,0.0617
58664,0,0.003
58665,0,0.0239
58666,0,0.0138
58667,0,0.0052
58668,0,0.0078
58669,0,0.0116
58670,0,0.0018
58671,0,0.2106
58672,0,0.0038
58673,1,0.9156
58674,0,0.0031
58675,0,0.0108
58676,0,0.2952
58677,0,0.0333
58678,0,0.0061
58679,0,0.2775
58680,1,0.9658
58681,0,0.0306
58682,0,0.0019
58683,0,0.0092
58684,0,0.2026
58685,0,0.1214
58686,0,0.0277
58687,0,0.4048
58688,0,0.0412
58689,0,0.3225
58690,0,0.0007
58691,0,0.0208
58692,0,0.0223
58693,0,0.016
58694,0,0.0177
58695,1,0.9553
58696,0,0.0128
58697,0,0.036
58698,0,0.0133
58699,0,0.01
58700,0,0.0074
58701,0,0.0098
58702,0,0.0233
58703,0,0.0784
58704,0,0.4023
58705,0,0.0894
58706,0,0.0524
58707,0,0.0135
58708,0,0.0313
58709,1,0.9606
58710,0,0.0568
58711,1,0.9655
58712,0,0.0517
58713,0,0.005
58714,0,0.0253
58715,0,0.0043
58716,0,0.1938
58717,0,0.0215
58718,0,0.0797
58719,0,0.0059
58720,0,0.001
58721,0,0.0681
58722,0,0.1131
58723,0,0.0202
58724,0,0.0172
58725,0,0.0168
58726,0,0.0144
58727,0,0.1416
58728,0,0.1091
58729,0,0.0174
58730,0,0.0072
58731,0,0.0163
58732,0,0.1624
58733,0,0.0006
58734,0,0.0111
58735,0,0.0165
58736,0,0.0698
58737,0,0.0501
58738,1,0.9858
58739,0,0.051
58740,1,0.9189
58741,0,0.0381
58742,0,0.0089
58743,0,0.0173
58744,0,0.0049
58745,0,0.008
58746,0,0.062
58747,0,0.0056
58748,0,0.0196
58749,0,0.02
58750,0,0.0111
58751,0,0.0515
58752,1,0.9023
58753,0,0.0046
58754,0,0.0763
58755,0,0.0777
58756,0,0.0032
58757,0,0.0251
58758,0,0.0077
58759,0,0.0005
58760,0,0.0016
58761,0,0.0111
58762,0,0.0038
58763,1,0.9426
58764,0,0.0017
58765,0,0.028
58766,0,0.0106
58767,0,0.0234
58768,1,0.9415
58769,0,0.0054
58770,0,0.0364
58771,0,0.048
58772,0,0.0229
58773,0,0.0291
58774,0,0.0137
58775,1,0.9391
58776,1,0.6733
58777,0,0.0076
58778,0,0.0146
58779,0,0.0352
58780,0,0.0155
58781,0,0.0181
58782,0,0.0771
58783,0,0.0281
58784,0,0.0122
58785,0,0.0072
58786,0,0.0535
58787,0,0.0449
58788,0,0.1015
58789,0,0.0335
58790,0,0.0428
58791,0,0.0745
58792,0,0.001
58793,0,0.0467
58794,0,0.0104
58795,0,0.0229
58796,0,0.0228
58797,0,0.0132
58798,0,0.0894
58799,1,0.837
58800,0,0.0246
58801,0,0.0026
58802,1,0.9024
58803,0,0.2727
58804,0,0.3649
58805,1,0.8963
58806,0,0.0418
58807,0,0.0124
58808,0,0.0134
58809,1,0.9541
58810,1,0.9101
58811,0,0.0169
58812,0,0.0613
58813,0,0.0093
58814,0,0.0256
58815,0,0.0179
58816,0,0.0105
58817,0,0.0014
58818,0,0.0439
58819,0,0.0825
58820,0,0.0024
58821,0,0.0261
58822,0,0.0031
58823,0,0.1313
58824,0,0.0313
58825,0,0.0014
58826,0,0.0747
58827,0,0.0236
58828,0,0.0041
58829,0,0.0732
58830,0,0.0111
58831,0,0.0525
58832,0,0.0118
58833,0,0.0043
58834,0,0.0128
58835,1,0.9597
58836,0,0.0588
58837,0,0.0667
58838,0,0.0118
58839,0,0.0013
58840,0,0.0101
58841,1,0.969
58842,0,0.0038
58843,0,0.0156
58844,0,0.0518
58845,0,0.1206
58846,0,0.0007
58847,1,0.9076
58848,0,0.1709
58849,0,0.1968
58850,0,0.0337
58851,0,0.0457
58852,0,0.3254
58853,0,0.0243
58854,1,0.987
58855,0,0.158
58856,0,0.0026
58857,0,0.0932
58858,0,0.1726
58859,0,0.0167
58860,0,0.0096
58861,0,0.0453
58862,0,0.1387
58863,0,0.2934
58864,0,0.0219
58865,0,0.3275
58866,0,0.0153
58867,0,0.0004
58868,0,0.0223
58869,0,0.0075
58870,0,0.112
58871,0,0.0074
58872,0,0.0243
58873,0,0.0127
58874,1,0.9807
58875,0,0.0144
58876,0,0.0091
58877,0,0.0034
58878,0,0.0435
58879,0,0.0065
58880,0,0.0263
58881,0,0.0276
58882,0,0.0031
58883,0,0.2627
58884,0,0.1303
58885,0,0.1102
58886,0,0.003
58887,1,0.9299
58888,0,0.307
58889,1,0.9696
58890,0,0.1033
58891,0,0.3964
58892,0,0.0269
58893,0,0.0194
58894,0,0.0466
58895,0,0.0043
58896,0,0.0027
58897,0,0.0267
58898,0,0.1078
58899,1,0.9549
58900,0,0.0099
58901,0,0.114
58902,0,0.1203
58903,0,0.0035
58904,0,0.0592
58905,0,0.0068
58906,0,0.0642
58907,0,0.0557
58908,0,0.0064
58909,0,0.0429
58910,0,0.0017
58911,0,0.0122
58912,0,0.0029
58913,0,0.221
58914,0,0.012
58915,0,0.0201
58916,0,0.0145
58917,0,0.0303
58918,0,0.0107
58919,0,0.0057
58920,0,0.2138
58921,0,0.0069
58922,0,0.0259
58923,0,0.0069
58924,0,0.0191
58925,0,0.015
58926,0,0.1897
58927,0,0.0265
58928,0,0.1038
58929,0,0.0021
58930,0,0.0146
58931,1,0.9556
58932,1,0.9085
58933,0,0.2784
58934,0,0.0519
58935,0,0.0146
58936,0,0.0278
58937,0,0.0189
58938,0,0.0209
